%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V],"% Didn't take it at 1.5mm, took it at 1mm"
82820.018,300.254,-345.278,165.889,-0.021,0.521,5,
82832.112,300.249,-345.357,165.729,-0.021,0.543,5,
82828.081,300.251,-345.436,166.049,-0.021,0.532,5,
82828.081,300.253,-345.357,166.049,-0.005,0.532,5,
82824.05,300.251,-345.515,165.889,0.012,0.521,5,
82824.05,300.253,-345.673,166.21,-0.021,0.521,5,
82815.987,300.253,-345.594,166.53,-0.005,0.51,5,
82824.05,300.253,-345.673,166.37,-0.005,0.543,5,
82820.018,300.249,-345.673,166.69,-0.053,0.543,5,
82820.018,300.254,-345.752,166.53,-0.005,0.532,5,
82815.987,300.254,-345.91,166.53,-0.021,0.532,5,
82824.05,300.254,-345.673,166.53,-0.005,0.51,5,
82824.05,300.256,-345.989,166.69,-0.021,0.51,5,
82815.987,300.253,-345.989,166.69,-0.037,0.543,5,
82811.955,300.256,-346.068,166.69,-0.07,0.521,5,
82811.955,300.254,-346.068,166.53,-0.005,0.521,5,
82824.05,300.253,-346.147,167.01,-0.005,0.521,5,
82811.955,300.256,-346.147,166.69,-0.005,0.521,5,
82811.955,300.253,-346.305,166.69,-0.005,0.521,5,
82815.987,300.256,-346.226,167.01,-0.005,0.521,5,
82811.955,300.253,-346.068,166.69,0.012,0.543,5,
82807.924,300.251,-346.305,166.69,0.028,0.521,5,
82815.987,300.253,-346.385,167.01,-0.021,0.521,5,
82811.955,300.254,-346.226,166.53,-0.021,0.532,5,
82811.955,300.253,-346.305,166.85,0.012,0.521,5,
82811.955,300.251,-346.385,166.69,-0.005,0.543,5,
82807.924,300.254,-346.385,166.69,-0.021,0.532,5,
82815.987,300.249,-346.305,166.53,-0.005,0.51,5,
82811.955,300.251,-346.305,166.69,-0.037,0.51,5,
82807.924,300.254,-346.147,166.53,-0.021,0.51,5,
82807.924,300.249,-346.147,166.69,0.012,0.5,5,
82815.987,300.251,-346.147,166.53,-0.021,0.51,5,
82811.955,300.253,-346.147,166.37,-0.005,0.521,5,
82811.955,300.256,-345.91,166.53,-0.005,0.51,5,
82811.955,300.251,-346.068,166.53,-0.021,0.521,5,
82815.987,300.251,-345.91,166.53,-0.021,0.543,5,
82815.987,300.253,-345.91,166.69,-0.005,0.532,5,
82820.018,300.253,-345.91,166.85,-0.021,0.51,5,
82820.018,300.251,-345.673,166.53,-0.021,0.532,5,
82828.081,300.253,-345.831,166.53,-0.005,0.532,5,
82820.018,300.253,-345.673,166.85,-0.037,0.521,5,
82820.018,300.254,-345.752,166.53,-0.005,0.521,5,
82820.018,300.253,-345.594,166.69,0.012,0.521,5,
82820.018,300.254,-345.594,166.85,-0.037,0.532,5,
82824.05,300.254,-345.594,166.85,-0.021,0.51,5,
82832.112,300.256,-345.594,166.69,-0.021,0.51,5,
82832.112,300.256,-345.436,167.17,-0.021,0.51,5,
82828.081,300.259,-345.594,167.01,0.012,0.51,5,
82828.081,300.259,-345.357,167.17,-0.005,0.51,5,
82828.081,300.256,-345.357,167.33,-0.021,0.521,5,
82828.081,300.256,-345.436,167.33,-0.005,0.521,5,
82836.144,300.257,-345.436,167.65,-0.005,0.51,5,
82828.081,300.256,-345.594,167.49,0.012,0.489,5,
82844.207,300.256,-345.357,167.81,-0.021,0.521,5,
82832.112,300.257,-345.436,167.971,-0.021,0.532,5,
82832.112,300.257,-345.357,168.131,-0.021,0.521,5,
82836.144,300.257,-345.515,167.971,-0.037,0.543,5,
82832.112,300.259,-345.594,168.291,-0.037,0.532,5,
82836.144,300.256,-345.515,168.291,-0.005,0.521,5,
82832.112,300.259,-345.673,168.451,-0.005,0.51,5,
82832.112,300.259,-345.752,168.291,-0.021,0.521,5,
82828.081,300.257,-345.831,168.611,-0.005,0.532,5,
82832.112,300.257,-345.831,168.611,-0.021,0.521,5,
82824.05,300.259,-345.91,168.611,0.012,0.532,5,
82828.081,300.261,-345.91,168.611,-0.021,0.532,5,
82820.018,300.261,-345.91,168.611,-0.005,0.543,5,
82824.05,300.259,-346.068,168.451,-0.037,0.521,5,
82824.05,300.259,-346.147,168.931,-0.021,0.521,5,
82824.05,300.256,-346.305,168.611,0.012,0.543,5,
82828.081,300.254,-346.305,168.611,0.012,0.521,5,
82824.05,300.256,-346.543,168.451,-0.021,0.51,5,
82824.05,300.254,-346.701,168.771,0.012,0.521,5,
82824.05,300.257,-346.701,168.451,-0.005,0.532,5,
82832.112,300.253,-346.859,168.451,-0.005,0.521,5,
82820.018,300.253,-346.859,168.291,-0.021,0.532,5,
82828.081,300.254,-347.017,168.451,-0.021,0.521,5,
82820.018,300.256,-347.017,168.291,-0.005,0.51,5,
82828.081,300.251,-347.175,168.291,-0.037,0.521,5,
82824.05,300.251,-347.175,168.291,-0.005,0.532,5,
82815.987,300.251,-347.333,167.971,-0.005,0.51,5,
82824.05,300.251,-347.412,168.451,-0.037,0.543,5,
82820.018,300.251,-347.491,168.131,-0.005,0.521,5,
82820.018,300.253,-347.57,168.291,-0.021,0.521,5,
82824.05,300.249,-347.57,167.971,0.012,0.521,5,
82824.05,300.253,-347.649,168.131,0.012,0.532,5,
82820.018,300.251,-347.807,167.971,-0.021,0.51,5,
82828.081,300.246,-347.886,168.291,-0.021,0.521,5,
82824.05,300.249,-347.965,168.131,-0.005,0.521,5,
82828.081,300.251,-347.886,168.131,-0.005,0.532,5,
82824.05,300.249,-347.965,168.131,-0.021,0.532,5,
82824.05,300.251,-347.886,168.451,-0.021,0.532,5,
82828.081,300.251,-347.965,168.291,-0.021,0.5,5,
82824.05,300.251,-347.886,168.451,-0.021,0.521,5,
82824.05,300.249,-348.044,168.291,-0.005,0.532,5,
82820.018,300.249,-348.123,168.611,0.012,0.532,5,
82828.081,300.249,-348.044,168.451,-0.021,0.521,5,
82820.018,300.253,-348.044,169.091,-0.021,0.532,5,
82828.081,300.253,-348.044,168.931,-0.005,0.51,5,
82828.081,300.251,-347.886,168.611,-0.005,0.5,5,
82824.05,300.254,-347.886,169.091,-0.005,0.553,5,
82828.081,300.253,-347.965,168.931,-0.005,0.543,5,
82824.05,300.254,-347.965,169.571,-0.037,0.521,5,
82828.081,300.253,-347.965,169.571,-0.005,0.532,5,
82820.018,300.256,-347.807,169.571,-0.021,0.532,5,
82824.05,300.256,-347.807,169.892,-0.053,0.532,5,
82824.05,300.253,-347.807,169.411,-0.021,0.543,5,
82820.018,300.256,-347.807,169.732,-0.053,0.532,5,
82820.018,300.253,-347.649,169.892,-0.021,0.51,5,
82815.987,300.254,-347.728,169.892,-0.037,0.521,5,
82820.018,300.254,-347.649,169.732,-0.005,0.521,5,
82824.05,300.254,-347.728,169.732,-0.037,0.51,5,
82815.987,300.254,-347.728,169.892,0.012,0.521,5,
82820.018,300.256,-347.649,169.892,-0.005,0.532,5,
82820.018,300.254,-347.491,170.052,-0.037,0.521,5,
82828.081,300.253,-347.412,169.892,-0.005,0.521,5,
82824.05,300.253,-347.57,169.892,-0.037,0.532,5,
82824.05,300.254,-347.412,170.052,-0.021,0.532,5,
82824.05,300.254,-347.412,169.892,0.012,0.521,5,
82815.987,300.257,-347.491,169.892,-0.005,0.521,5,
82820.018,300.253,-347.491,169.892,-0.021,0.521,5,
82815.987,300.254,-347.412,169.892,-0.037,0.521,5,
82820.018,300.251,-347.412,169.892,0.012,0.521,5,
82815.987,300.256,-347.412,169.571,-0.037,0.521,5,
82815.987,300.254,-347.412,169.571,0.012,0.532,5,
82811.955,300.251,-347.412,169.411,-0.005,0.521,5,
82824.05,300.256,-347.491,169.251,-0.005,0.521,5,
82811.955,300.253,-347.412,169.571,-0.005,0.521,5,
82820.018,300.254,-347.412,169.251,-0.005,0.521,5,
82824.05,300.254,-347.491,169.091,-0.037,0.532,5,
82815.987,300.253,-347.412,168.931,-0.037,0.51,5,
82815.987,300.253,-347.412,168.931,-0.005,0.532,5,
82820.018,300.251,-347.333,169.091,0.012,0.521,5,
82828.081,300.251,-347.412,168.931,0.012,0.51,5,
82824.05,300.251,-347.333,169.091,0.012,0.521,5,
82824.05,300.253,-347.57,169.091,-0.005,0.51,5,
82824.05,300.253,-347.333,168.611,-0.005,0.521,5,
82828.081,300.254,-347.412,168.771,-0.005,0.532,5,
82836.144,300.253,-347.333,168.931,-0.005,0.532,5,
82824.05,300.254,-347.333,168.771,-0.005,0.521,5,
82828.081,300.253,-347.254,168.611,-0.021,0.543,5,
82832.112,300.249,-347.175,168.611,-0.021,0.521,5,
82832.112,300.253,-347.175,168.771,-0.005,0.543,5,
82828.081,300.254,-347.096,168.451,-0.005,0.532,5,
82828.081,300.253,-347.254,168.291,-0.021,0.532,5,
82828.081,300.253,-347.096,168.451,-0.005,0.521,5,
82832.112,300.256,-347.175,168.611,-0.037,0.521,5,
82832.112,300.256,-346.938,168.131,-0.021,0.532,5,
82832.112,300.251,-347.017,168.291,0.012,0.521,5,
82836.144,300.251,-346.78,168.611,-0.021,0.51,5,
82828.081,300.253,-346.938,168.611,-0.005,0.532,5,
82832.112,300.254,-346.859,168.291,-0.005,0.532,5,
82832.112,300.254,-346.859,168.451,-0.005,0.521,5,
82824.05,300.256,-346.701,168.451,-0.037,0.543,5,
82824.05,300.254,-346.701,168.291,0.012,0.532,5,
82824.05,300.256,-346.78,168.131,-0.005,0.51,5,
82828.081,300.257,-346.701,168.131,-0.005,0.521,5,
